Category: All categories,,,,
,,,,
Week,covid lab leak: (Molise),coronavirus lab leak: (Molise),covid fuga laboratorio: (Molise),coronavirus fuga laboratorio: (Molise)
1/5/20,0,0,0,0
1/12/20,0,0,0,0
1/19/20,0,0,0,0
1/26/20,0,0,0,0
2/2/20,0,0,0,0
2/9/20,0,0,0,0
2/16/20,0,0,0,0
2/23/20,0,100,0,0
3/1/20,0,0,0,0
3/8/20,0,0,0,0
3/15/20,0,0,0,0
3/22/20,0,0,0,0
3/29/20,0,0,0,0
4/5/20,0,0,0,0
4/12/20,0,0,0,0
4/19/20,0,0,0,0
4/26/20,0,0,0,0
5/3/20,0,0,0,0
5/10/20,0,0,0,0
5/17/20,0,0,0,0
5/24/20,0,0,76,0
5/31/20,0,0,0,0
6/7/20,0,0,0,0
6/14/20,0,0,0,0
6/21/20,0,0,0,0
6/28/20,0,0,0,0
7/5/20,0,0,0,0
7/12/20,0,0,0,0
7/19/20,0,0,0,0
7/26/20,0,0,0,0
8/2/20,0,0,0,0
8/9/20,0,0,0,0
8/16/20,0,0,0,0
8/23/20,0,0,0,0
8/30/20,0,0,0,0
9/6/20,0,0,0,0
9/13/20,0,0,0,0
9/20/20,0,0,0,0
9/27/20,0,0,0,0
10/4/20,0,0,0,0
10/11/20,0,0,77,0
10/18/20,0,0,0,0
10/25/20,0,0,0,0
11/1/20,0,0,0,0
11/8/20,0,0,0,0
11/15/20,0,0,0,0
11/22/20,0,0,0,0
11/29/20,0,0,0,0
12/6/20,0,0,0,0
12/13/20,0,0,0,0
12/20/20,0,0,0,0
12/27/20,0,0,0,0
1/3/21,0,0,0,0
1/10/21,0,0,0,0
1/17/21,0,0,0,0
1/24/21,0,0,0,0
1/31/21,0,0,0,0
2/7/21,0,0,0,0
2/14/21,0,0,0,0
2/21/21,0,0,0,0
2/28/21,0,0,0,0
3/7/21,0,0,0,0
3/14/21,0,0,0,0
3/21/21,0,0,0,0
3/28/21,0,0,0,0
4/4/21,0,0,0,0
4/11/21,0,0,0,0
4/18/21,0,0,0,0
4/25/21,0,0,0,0
5/2/21,0,0,0,0
5/9/21,0,0,0,0
5/16/21,0,0,0,0
5/23/21,0,0,0,0
5/30/21,0,0,0,0
6/6/21,0,0,0,0
6/13/21,0,0,0,0
6/20/21,0,0,0,0
6/27/21,0,0,0,0
7/4/21,0,0,0,0
7/11/21,0,0,0,0
7/18/21,0,0,0,0
7/25/21,0,0,0,0
8/1/21,0,0,0,0
8/8/21,0,0,0,0
8/15/21,0,0,100,0
8/22/21,0,0,0,0
8/29/21,0,0,0,0
9/5/21,0,0,0,0
9/12/21,0,0,0,0
9/19/21,0,0,0,0
9/26/21,0,0,0,0
10/3/21,0,0,0,0
10/10/21,0,0,0,0
10/17/21,0,0,0,0
10/24/21,0,0,0,0
10/31/21,0,0,0,0
11/7/21,0,0,0,0
11/14/21,0,0,0,0
11/21/21,0,0,0,0
11/28/21,0,0,0,0
12/5/21,0,0,0,0
12/12/21,0,0,0,0
12/19/21,0,0,0,0
12/26/21,0,0,0,0
1/2/22,0,0,0,0
1/9/22,0,0,0,0
1/16/22,0,0,0,0
1/23/22,0,0,0,0
1/30/22,0,0,0,0
2/6/22,0,0,0,0
2/13/22,0,0,0,0
2/20/22,0,0,0,0
2/27/22,0,0,0,0
3/6/22,0,0,0,0
3/13/22,0,0,0,0
3/20/22,0,0,0,0
3/27/22,0,0,0,0
4/3/22,0,0,0,0
4/10/22,0,0,0,0
4/17/22,0,0,0,0
4/24/22,0,0,0,0
5/1/22,0,0,0,0
5/8/22,0,0,0,0
5/15/22,100,0,0,0
5/22/22,0,0,0,0
5/29/22,0,0,0,0
6/5/22,0,0,0,0
6/12/22,0,0,0,100
6/19/22,0,0,0,0
6/26/22,0,0,0,0
7/3/22,0,0,0,0
7/10/22,0,0,0,0
7/17/22,0,0,0,0
7/24/22,0,0,0,0
7/31/22,0,0,0,0
8/7/22,0,0,0,0
8/14/22,0,0,0,0
8/21/22,0,0,0,0
8/28/22,0,0,0,0
9/4/22,0,0,0,0
9/11/22,0,0,0,0
9/18/22,0,0,0,0
9/25/22,0,0,0,0
10/2/22,0,0,0,0
10/9/22,0,0,0,0
10/16/22,0,0,0,0
10/23/22,0,0,0,0
10/30/22,0,0,0,0
11/6/22,0,0,0,0
11/13/22,0,0,0,0
11/20/22,0,0,0,0
11/27/22,0,0,0,0
12/4/22,0,0,0,0
12/11/22,0,0,0,0
12/18/22,0,0,0,0
12/25/22,0,0,0,0
1/1/23,0,0,0,0
1/8/23,0,0,0,0
1/15/23,0,0,0,0
1/22/23,0,0,0,0
1/29/23,0,0,0,0
2/5/23,0,0,0,0
2/12/23,0,0,0,0
2/19/23,0,84,0,0
2/26/23,0,0,0,0
3/5/23,0,0,0,0
3/12/23,0,0,0,0
3/19/23,0,0,0,0
3/26/23,0,0,0,0
4/2/23,0,0,0,0
4/9/23,0,0,0,0
4/16/23,79,0,0,0
4/23/23,0,0,0,0
4/30/23,0,0,0,0
5/7/23,0,0,0,0
5/14/23,0,0,0,0
5/21/23,0,0,0,0
5/28/23,0,0,0,0
6/4/23,0,0,0,0
6/11/23,0,0,0,0
6/18/23,0,0,0,0
6/25/23,0,0,0,0
7/2/23,0,0,0,0
7/9/23,0,0,0,0
7/16/23,0,0,0,0
7/23/23,0,0,0,0
7/30/23,0,0,0,0
8/6/23,0,0,0,0
8/13/23,0,0,73,0
8/20/23,0,0,0,0
8/27/23,0,0,0,0
9/3/23,0,0,0,0
9/10/23,0,0,77,0
9/17/23,0,0,0,0
9/24/23,0,0,0,0
10/1/23,0,0,0,0
10/8/23,0,0,0,0
10/15/23,0,0,0,0
10/22/23,0,0,0,0
10/29/23,0,0,0,0
11/5/23,0,0,0,0
11/12/23,0,0,0,0
11/19/23,0,0,0,0
11/26/23,0,0,0,0
12/3/23,0,0,0,0
12/10/23,0,0,0,0
12/17/23,0,0,0,0
12/24/23,0,0,0,0
12/31/23,0,0,0,0
1/7/24,0,0,0,0
1/14/24,0,0,0,0
1/21/24,0,0,0,0
1/28/24,0,0,0,0
2/4/24,0,0,0,0
2/11/24,0,0,0,0
2/18/24,0,0,0,0
2/25/24,0,0,0,0
3/3/24,0,0,0,0
,,0,0,0
,,0,0,0